Date,Day,Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Press_max,Press_avg,Press_min,Precipit,day_of_week
2016-01-06,1,85,74.8,68,74,71.4,66,100,89.4,65,21,9.5,0,29.8,29.8,29.7,0.0,2
2016-02-06,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5
2016-03-06,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6
2016-04-06,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2
2016-05-06,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4
2016-06-06,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0
2016-07-06,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2
2016-08-06,8,88,79.3,71,72,69.0,64,96,73.3,46,12,4.8,0,29.8,29.8,29.8,0.0,5
2016-09-06,9,88,79.2,72,74,69.9,65,100,75.3,49,15,6.7,0,29.8,29.8,29.8,0.0,1
2016-10-06,10,90,80.6,72,75,73.3,71,100,80.0,55,14,5.7,0,29.9,29.8,29.8,0.0,3
2016-11-06,11,90,82.0,75,77,75.0,73,96,79.8,59,13,5.4,0,29.9,29.9,29.9,0.0,6
2016-12-06,12,86,78.7,73,79,74.7,70,100,88.0,72,13,6.7,0,30.0,29.9,29.9,0.0,1
2016-06-13,13,93,82.5,73,79,75.1,72,100,80.0,54,13,5.0,0,29.9,29.8,29.7,2.11,0
2016-06-14,14,94,85.7,79,76,74.6,73,90,70.8,51,10,6.3,0,29.8,29.8,29.7,0.0,1
2016-06-15,15,95,85.2,78,77,74.4,70,93,72.3,46,12,6.1,0,29.9,29.8,29.8,0.0,2
2016-06-16,16,96,86.5,79,77,74.6,70,94,69.8,44,10,6.5,3,29.9,29.9,29.8,0.0,3
2016-06-17,17,95,85.8,79,78,75.1,71,90,71.9,47,14,5.1,0,29.9,29.8,29.8,0.0,4
2016-06-18,18,96,84.8,77,79,73.7,68,96,71.0,47,22,6.6,0,29.9,29.9,29.8,0.0,5
2016-06-19,19,90,82.3,74,73,71.5,69,91,71.1,52,12,5.8,0,30.0,30.0,29.9,0.0,6
2016-06-20,20,91,82.9,76,76,73.6,71,94,75.0,52,17,5.0,0,30.1,30.0,30.0,0.0,0
2016-06-21,21,92,82.7,76,76,73.9,72,94,76.1,52,18,4.1,0,30.0,30.0,29.9,0.0,1
2016-06-22,22,92,83.2,76,76,73.3,70,94,73.5,50,17,7.2,0,30.0,29.9,29.9,0.02,2
2016-06-23,23,92,83.8,74,73,71.0,69,93,66.9,47,14,6.0,0,30.0,29.9,29.9,0.0,3
2016-06-24,24,91,82.0,73,76,73.4,71,93,76.2,54,13,6.0,0,30.0,29.9,29.9,0.0,4
2016-06-25,25,91,83.1,76,79,74.7,72,97,76.7,59,17,4.9,0,30.0,29.9,29.9,0.0,5
2016-06-26,26,93,84.8,76,77,73.8,70,97,71.3,50,10,3.5,0,30.0,29.9,29.9,0.06,6
2016-06-27,27,95,84.8,76,76,74.1,72,97,71.8,49,8,2.0,0,30.0,29.9,29.9,0.0,0
2016-06-28,28,95,82.2,75,75,73.8,72,94,77.2,52,20,5.2,0,29.9,29.9,29.8,0.0,1
2016-06-29,29,93,81.6,74,75,73.6,72,97,78.3,52,14,5.2,0,29.9,29.8,29.8,0.0,2
2016-06-30,30,94,83.8,75,75,72.7,70,94,71.3,47,13,6.0,0,29.9,29.8,29.8,0.0,3
2016-01-07,1,94,84.9,76,76,74.0,72,94,71.6,51,13,5.7,0,29.9,29.9,29.8,0.0,3
2016-02-07,2,95,86.2,76,76,73.1,69,94,67.2,43,12,5.5,0,29.9,29.9,29.8,0.0,6
2016-03-07,3,95,87.1,80,76,74.1,70,85,66.5,44,18,9.5,5,29.9,29.9,29.8,0.0,0
2016-04-07,4,97,87.7,82,77,74.8,72,85,66.7,44,14,9.5,5,29.9,29.9,29.8,0.0,3
2016-05-07,5,96,87.1,82,77,75.3,71,84,69.3,44,14,9.3,3,29.9,29.9,29.9,0.0,5
2016-06-07,6,95,87.0,82,79,74.4,69,89,67.6,44,15,9.9,6,29.9,29.9,29.8,0.0,1
2016-07-07,7,97,87.3,81,77,75.2,72,88,68.9,44,20,9.6,5,29.9,29.9,29.8,0.0,3
2016-08-07,8,97,87.0,79,78,74.0,70,90,67.2,43,16,7.9,3,29.9,29.9,29.9,0.0,6
2016-09-07,9,97,86.6,77,78,74.6,70,94,69.3,43,14,7.1,0,29.9,29.9,29.8,0.0,2
2016-10-07,10,94,86.0,80,79,74.0,66,90,69.7,42,14,7.4,0,29.9,29.9,29.8,0.28,4
2016-11-07,11,96,87.3,82,76,72.6,67,82,63.8,38,21,11.1,5,29.9,29.8,29.8,0.0,0
2016-12-07,12,97,87.4,81,77,74.0,70,85,66.1,41,17,9.6,3,29.9,29.9,29.8,0.0,2
2016-07-13,13,97,88.3,81,79,74.6,69,88,65.7,44,14,8.9,3,29.9,29.9,29.9,0.0,2
2016-07-14,14,97,86.7,81,77,73.8,68,88,68.2,39,14,7.4,0,29.9,29.9,29.8,0.0,3
2016-07-15,15,98,87.2,77,77,73.1,66,94,65.8,35,18,6.9,0,29.9,29.9,29.8,0.0,4
2016-07-16,16,96,86.0,77,77,72.3,66,94,66.3,38,16,5.6,0,29.9,29.9,29.8,0.0,5
2016-07-17,17,95,84.7,77,76,73.0,70,90,69.3,46,18,6.0,0,30.0,29.9,29.9,0.0,6
2016-07-18,18,96,84.1,77,77,75.0,72,94,75.0,49,9,3.5,0,30.0,30.0,30.0,0.0,0
2016-07-19,19,91,82.7,77,77,75.4,73,96,79.3,55,12,5.3,0,30.1,30.0,30.0,0.24,1
2016-07-20,20,97,85.6,76,77,74.0,71,97,70.8,43,12,3.9,0,30.1,30.0,30.0,0.22,2
2016-07-21,21,97,86.8,76,77,71.9,64,94,64.8,34,12,3.9,0,30.0,30.0,29.9,0.01,3
2016-07-22,22,98,87.5,77,76,72.6,67,94,64.0,37,12,3.4,0,30.0,29.9,29.8,0.0,4
2016-07-23,23,98,87.5,78,76,73.8,70,90,65.4,40,10,5.5,0,29.9,29.8,29.8,0.0,5
2016-07-24,24,98,88.3,78,77,73.9,69,93,64.4,40,15,5.5,0,29.9,29.8,29.8,0.0,6
2016-07-25,25,95,85.7,79,76,74.0,72,88,69.2,49,24,6.7,0,29.9,29.8,29.8,0.0,0
2016-07-26,26,91,81.1,77,77,74.6,73,96,81.4,57,14,5.1,0,29.8,29.8,29.8,0.0,1
2016-07-27,27,85,79.7,73,78,74.6,71,94,84.6,72,10,4.4,0,29.9,29.9,29.8,0.0,2
2016-07-28,28,90,81.0,75,79,75.2,70,94,83.5,59,24,4.7,0,29.9,29.9,29.8,0.22,3
2016-07-29,29,94,84.5,76,77,74.0,72,97,72.7,49,12,4.4,0,29.9,29.9,29.8,0.12,4
2016-07-30,30,97,85.8,77,77,73.8,68,94,69.7,41,10,4.2,0,29.9,29.9,29.8,0.0,5
2016-07-31,31,96,85.9,79,79,75.0,71,90,71.2,47,13,5.6,0,29.9,29.9,29.9,0.0,6
2016-01-08,1,97,86.5,75,76,73.3,67,96,67.3,37,20,6.0,0,30.0,29.9,29.9,0.0,4
